Product Name,Product Type,Product Price,Color,Processor Type,RAM(GB),Storage Capacity,Screen Size(inch),Display Resolution,Touch Display,Network and Communication,Operating System,Battery Type,Warranty Period(Months)
ThinkPad T14s Gen 4 (Intel),Business,2094,Deep Black,Intel Core i7-1355U (13th Gen),16,1TB SSD M.2,14.0,1920x1200,False,"Intel Wi-Fi 6E AX211, 11ax 2x2 + Bluetooth 5.3",Windows 11 Professional,Integrated 57Wh,36.0
Acer Nitro 5 AN515-58-542X,Gaming,2999,Obsidian Black,Intel Core i5-12500H (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,57Wh Li-ion battery,24.0
Acer Gaming Predator Helios Neo 16 PHN16-71-71P2,Gaming,5799,Obsidian Black,Intel Core i7-13700HX (13th Gen),16,512GB SSD M.2,16.0,1920x1200,False,Wi-Fi + Bluetooth,Windows 11 Home,"4-cell, 90 Wh Li-ion polymer",24.0
Asus Vivobook X1500EP-BQ588,standard,1999,Indie Black,Intel Core i5-1135G7 (11th Gen),8,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 2 Cell,24.0
Lenovo IdeaPad 1 15IGL7,standard,799,Cloud Grey,Intel Celeron N4020,4,256GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3 Cell, Integrated 42Wh",24.0
Lenovo Gaming LOQ 16IRH8,Gaming,4499,Storm Grey,Intel Core i7-13620H (13th Gen),16,512GB SSD M.2,15.6,WUXGA 1920x1200 IPS,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 60Wh,24.0
Apple MacBook Pro M3,standard,8099,Silver,Apple M3 chip,8,1TB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,70-watt-hour lithium-polymer battery,24.0
Dell Inspiron 14 7430 2-in-1,2-in-1,3399,Platinum Silver,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,14.0,1920x1200 Full HD,True,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",Windows 11 Home,"4 Cell, integrated 54Wh",24.0
Asus ROG Strix G614JI-N3082,Gaming,7999,Eclipse Gray,Intel Core i7-13650HX (13th Gen),32,1TB SSD M.2,16.0,1920x1200,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
Asus Vivobook X1504ZA-NJ672,standard,1699,Cool Silver,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Microsoft Surface Pro 9,2-in-1,3499,Platinum,Microsoft SQ 3 Neural Processing Unit (NPU),8,128GB SSD,13.0,2880X1920 (267 PPI),True,WiFi 6E (802.11ax) and Bluetooth 5.1,Windows 11 Home,Up to 19 hours of typical device usage,24.0
HP 250 G10,standard,2399,Turbo silver with Aluminum Top Cover,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"HP Long Life 3-cell, 41 Wh Li-ion",24.0
Acer Aspire 3 A315-58G-5657,standard,1799,Pure Silver,Intel Core i5-1135G7 (11th Gen),8,1TB HDD + 256GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,Lithium Ion (Li-Ion),24.0
Asus Vivobook 14 Flip TP3402ZA-LZ058W,2-in-1,2649,Cool Silver,Intel Core i5-12500H (12th Gen),8,512GB SSD M.2,14.0,1920x1200,True,Wi-Fi 6 + Bluetooth 5.3,Windows 11 Home,"3-cell Li-ion, 50WHrs, 3S1P",24.0
Dell Vostro 15 3520,standard,1749,Black,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
Dell Vostro 15 3520,standard,2349,Black,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
Asus Vivobook X1504VA-NJ093,standard,2449,Quiet Blue,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
ThinkPad E14 Gen 5 (Intel),Business,2449,Graphite Black,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,14.0,1920x1200,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 47Wh,24.0
Surface Pro 8,2-in-1,3699,Platinum,Intel Core i5-1135G7 (11th Gen),8,256GB SSD,13.0,2880x1920,True,Wi-Fi 6 + Bluetooth 5.1,Windows 11 Home,Up to 16 hours of typical device usage,24.0
Lenovo LOQ 15IRH8,Gaming,2899,Storm Grey,Intel Core i5-13420H (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Integrated 60Wh,24.0
ThinkBook 14 G4 IAP,Business,2899,Mineral Grey,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Windows 11 Professional,Lithium 3 Cell,36.0
Lenovo Legion 5 16IRX9,Gaming,5549,Luna Grey,Intel Core i7-14650HX (14th Generation),16,1TB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Dos,Integrated 80Wh,24.0
Acer Gaming Predator Helios Neo 16 PHN16-71-74ZT,Gaming,5299,Obsidian Black,Intel Core i7-13700HX (13th Gen),16,512GB SSD M.2,16.0,1920x1200,False,Wi-Fi + Bluetooth,Windows 11 Home,"4-cell, 90 Wh Li-ion polymer",24.0
Apple MacBook Pro 16-Inch M3 Pro,standard,11299,Silver,Apple M2 Pro chip,18,512GB SSD,16.2,3456x2234,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,100-watt-hour lithium-polymer battery,24.0
E510MA-BR583,standard,849,Star Black,Intel Celeron N4020,4,256GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi + Bluetooth,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
MacBook Air M1 2020,standard,3199,Silver,Apple M1 chip,8,256GB SSD,13.3,Retina Display 2560x1600,False,Not Available,macOS Big Sur,Lithium Polymer (Li-Po),24.0
Dell Vostro 15 3510,standard,1399,Carbon Black,Intel Core i3-1115G4 (11th Gen),4,256GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi + Bluetooth,Windows 11 Home,"3-cell, 41 Wh Li-ion",24.0
Lenovo LOQ 15IRX9,Gaming,2999,Gray,Intel Core i5-13450HX (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,Integrated 60Wh,24.0
Lenovo Legion 5 16IRX9,Gaming,6999,Luna Grey,Intel Core i7-14650HX (14th Generation),16,1TB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Windows 11 Home,Integrated 80Wh,24.0
HP EliteBook 830 G8,Business,6999,Silver,Intel Core i7-1185G7 vPro (11th Gen),8,256GB SSD M.2,13.3,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.2,Windows 10 Professional,"HP Long Life 3-cell, 53 Wh Li-ion",36.0
Dell Latitude 5440,Business,6999,Gray,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,14.0,1920x1080,False,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"3 Cell, integrated 54Wh",24.0
ThinkPad X1 Carbon Gen 11,Business,6999,Deep Black,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,14.0,WUXGA 1920x1200 IPS,False,"Intel Wi-Fi 6E AX211, 11ax 2x2 + Bluetooth 5.3",Windows 11 Professional,Integrated 57Wh,36.0
ThinkPad E16 Gen 1 (Intel),Business,6999,Graphite Black,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,16.0,1920x1200,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 47Wh,24.0
apple MacBook Air M2 (2024),standard,6999,Starlight,Apple M2 chip,16,256GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.3,macOS Monterey,52.6-watt‑hour lithium‑polymer battery,24.0
Dell Latitude 3440,Business,6999,Black,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3 Cell, Integrated 42Wh",24.0
Asus TUF Gaming FX507VU-LP165,Gaming,4299,Mecha Gray,Intel Core i7-13620H (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
Dell Latitude 3540,Business,4299,Black,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3 Cell, Integrated 42Wh",24.0
Asus TUF Gaming FX507ZV4-LP114,Gaming,4899,Mecha Gray,Intel Core i7-12700H (12th Gen),32,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 (802.11ax)+Bluetooth 5.2 (Dual band) 2*2,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
Acer Aspire 3 A315-56-54YJ,standard,1549,Shale Black,Intel Core i5-1035G1 (10th Gen),4,256GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi + Bluetooth,Dos,Lithium Ion (Li-Ion),24.0
Asus Vivobook 14 Flip TP3402ZA-LZ122W,2-in-1,2899,Cool Silver,Intel Core i7-12700H (12th Gen),16,512GB SSD M.2,14.0,1920x1200,True,Wi-Fi 6 + Bluetooth 5.3,Windows 11 Home,"3-cell Li-ion, 50WHrs, 3S1P",24.0
Apple MacBook Air 13-inch M3,standard,4649,Space Gray,Apple M3 chip,8,256GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
Lenovo LOQ 15IRX9 Gaming,Gaming,4349,Luna Grey,Intel Core i7-13650HX (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Integrated 60Wh,24.0
Acer Aspire 3 A315-58-57LP,standard,1499,Pure Silver,Intel Core i5-1135G7 (11th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,36Wh Li-ion battery,24.0
Acer Aspire 3 A315-59G-789P,standard,2149,Pure Silver,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,40Wh Li-ion battery,24.0
Asus E510MA-BR1112,standard,849,Peacock Blue,Intel Celeron N4020,4,256GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi 5 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
HP 250 G10,standard,2999,Turbo silver with Aluminum Top Cover,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"HP Long Life 3-cell, 41 Wh Li-ion",24.0
Asus Vivobook Go 15 E1504GA-NJ340,standard,1299,Cool Silver,Intel Core i3-N305,8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
MacBook Air 15-inch M3 (2024),standard,7499,Midnight,Apple M3 chip,16,512GB SSD,15.3,Liquid Retina 2880x1864,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,66.5-watt‑hour lithium‑polymer battery (Up to 18 hours),24.0
Asus Vivobook 14 Flip TP3402VA-LZ144W,2-in-1,3649,Cool Silver,Intel Core i9-13900H (13th Gen),16,1TB SSD M.2,14.0,1920x1200,True,Wi-Fi 6 + Bluetooth 5.3,Windows 11 Home,"3-cell Li-ion, 50WHrs, 3S1P",24.0
Asus TUF Gaming FX507VI-LP073,Gaming,5999,Jaeger Gray,Intel Core i7-13620H (13th Gen),32,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
Asus Vivobook X1504VA-NJ107,standard,2599,Cool Silver,Intel Core i7-1355U (13th Gen),16,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Latitude 3450,Business,2599,Black,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,14.0,1920x1080,False,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"3 Cell, Integrated 42Wh",24.0
Apple MacBook Air M3,standard,5799,Midnight,Apple M3 chip,8,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
Lenovo ThinkPad E14 Gen 6 Intel,Business,5799,Black,Intel Core Ultra 5-125U,8,512GB SSD M.2,14.0,WUXGA 1920x1200 IPS,False,"Wi-Fi 6E, 802.11ax 2x2 + Bluetooth 5.3",Dos,Integrated 47Wh,24.0
ThinkPad X1 Yoga Gen 8,Business,5799,Storm Grey,Intel Core i7-1355U (13th Gen),32,1TB SSD M.2,14.0,WUXGA 1920x1200 IPS,True,"Intel Wi-Fi 6E AX211, 802.11ax 2x2 + Bluetooth 5.3",Windows 11 Professional,Integrated 57Wh,36.0
ThinkPad E16 Gen 1 (Intel),Business,5799,Graphite Black,Intel Core i5-1335U (13th Gen),8,256GB SSD M.2,16.0,1920x1200,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 47Wh,24.0
Lenovo Legion Pro 5 16IRX9,Gaming,5899,Luna Grey,Intel Core i7-14650HX (14th Generation),16,1TB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Dos,Integrated 80Wh,24.0
Lenovo Gaming LOQ 15APH8,Gaming,3499,Storm Grey,AMD Ryzen 7-7840HS,16,512GB SSD M.2,15.6,1920 x 1080 FHD IPS,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 60Wh,24.0
Asus Vivobook 14 Flip TP3402VA-LZ137W,2-in-1,2699,Cool Silver,Intel Core i5-13500H (13th Gen),8,512GB SSD M.2,14.0,1920x1200,True,Wi-Fi 6 + Bluetooth 5.3,Windows 11 Home,"3-cell Li-ion, 50WHrs, 3S1P",24.0
ThinkPad E15 Gen 4,Business,2699,Black,Intel Core i7-1255U (12th Gen),8,512GB SSD,15.6,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Lithium 3 Cell,24.0
Apple MacBook Pro M3 Pro,standard,9299,Silver,Apple M3 Pro chip,18,512GB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,72.4-watt-hour lithium-polymer battery,24.0
Asus Vivobook X1504ZA-NJ018,standard,1499,Quiet Blue,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Lenovo IdeaPad Flex 5 14ALC7,2-in-1,2594,Storm Grey,AMD Ryzen 7-5700U,16,512GB SSD M.2,14.0,1920x1200,True,Wi-Fi 6 + Bluetooth 5.3,Windows 11 Home,Integrated 52.5Wh,24.0
Apple MacBook Pro 14-inch M3 chip,standard,8999,Space Gray,Apple M3 chip,16,1TB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,70-watt-hour lithium-polymer battery,24.0
Dell Latitude 3420,Business,8999,Black,Intel Core i5-1135G7 (11th Gen),8,256GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,"3-cell, 41 Wh Li-ion",24.0
Lenovo IdeaPad Flex 5 14IRU8,2-in-1,1999,Arctic Grey,Intel Core i3-1315U (13th Gen),8,512GB SSD M.2,14.0,1920x1200,True,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Windows 11 Home,Integrated 52.5Wh,24.0
HP ProBook 450 G10,Business,1999,Silver,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,15.6,1920 x 1080 FHD IPS,False,Wi-Fi + Bluetooth,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
Asus Vivobook X1605VA-MB328,standard,2849,Indie Black,Intel Core i9-13900H (13th Gen),16,512GB SSD M.2,16.0,WUXGA 1920x1200 IPS,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
ThinkPad E14 Gen 5 (Intel),Business,2849,Graphite Black,Intel Core i7-1355U (13th Gen),8,512GB SSD,14.0,1920x1200,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 47Wh,24.0
Lenovo ThinkPad E16 Gen 2 Intel,Business,2849,Black,Intel Core Ultra 7-155H,16,512GB SSD M.2,16.0,WUXGA 1920x1200 IPS,False,"Wi-Fi 6E, 802.11ax 2x2 + Bluetooth 5.3",Dos,Integrated 57Wh,24.0
Lenovo Gaming LOQ 15IRH8,Gaming,3999,Storm Grey,Intel Core i7-13620H (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 60Wh,24.0
HP 15s-fq5038nx,standard,1899,Natural Silver,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
Dell Vostro 15 3520,Business,2899,Grey Aluminum,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"4 Cell, integrated 54Wh",24.0
Asus Vivobook Go 15 E1504GA-NJ255,standard,1149,Cool Silver,Intel Core i3-N305,8,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
MacBook Air M1 2020,standard,2699,Space Gray,Apple M1 chip,8,256GB SSD,13.3,Retina Display 2560x1600,False,Not Available,macOS Big Sur,Lithium Ion Polymer,24.0
Lenovo IdeaPad 1 15IAU7,standard,994,ABYSS Blue,Intel Core i3-1215U (12th Gen),4,512GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3 Cell, Integrated 42Wh",24.0
HP 250 G10,standard,1199,Turbo silver with Aluminum Top Cover,Intel Core i3-1315U (13th Gen),4,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"HP Long Life 3-cell, 41 Wh Li-ion",24.0
Microsoft Surface Go 2,2-in-1,1149,Platinum,Intel Pentium 4425Y,4,64GB eMMC,10.5,1920 x 1280 (220 PPI),True,Wi-Fi + Bluetooth,Windows 10 Professional,Lithium Polymer (Li-Po),24.0
IdeaPad Slim 5 14Q8X9,standard,3699,Cloud Grey,Snapdragon X Plus X1P 42 100,16,512GB SSD M.2,15.6,1920x1200,False,Wi-Fi 7 + Bluetooth 5.4,Windows 11 Home,Integrated 57Wh,24.0
